"idAlumno","tiempo"
1,292.4
2,13.9
3,238
4,258.3
5,203.9
6,191.6
7,173.4
8,222.6
9,138.9
10,314
11,199.8
12,139.7
13,222.2
14,191.2
15,332.8
16,162.6
17,282.3
18,179.3
19,260.9
20,162.3
21,169.8
22,308.3
23,154.2
24,276.8
25,97
26,188.8
27,213.2
28,220.1
29,325.7
30,223.3
31,202.4
32,126.5
33,300.9
34,296.6
35,166.4
36,134.1
37,108.2
38,219.6
39,179.9
40,306.1
41,223.5
42,416
43,401.2
44,320.3
45,366.5
46,291.1
47,0
48,287.4
49,302.6
50,338.1
51,235.2
52,88
53,319.5
54,225.6
55,169.4
56,301.1
57,348.5
58,168.9
59,355.6
60,363.6
61,207.8
62,313.3
63,211.2
64,474.9
65,274.8
66,205.4
67,149.7
68,200.6
69,143.6
70,316.9
71,294.5
72,345
73,359.3
74,206.2
75,134.2
76,213.6
77,390.2
78,318.8
79,273.5
80,77.3
81,424.9
82,287.5
83,141.3
84,265.6
85,98.9
86,248.8
87,271.5
88,196.1
89,95
90,372.4
91,192.2
92,345.3
93,158.3
94,126.3
95,0
96,338.6
97,259.8
98,177.7
99,285
100,389.9
101,185.4
102,200.1
103,298.5
104,256.4
105,254.1
106,297.2
107,310.7
108,132.4
109,308.5
110,222.4
111,263.9
112,44.1
113,0
114,311.1
115,204.9
116,326.8
117,278.6
118,160.9
119,274.1
120,378.2
121,159
122,276.4
123,281.1
124,336.1
125,219.9
126,296.5
127,283.4
128,241.4
129,228.3
130,269.9
131,111.2
132,290.6
133,86.5
134,261.7
135,241.7
136,41
137,168.1
138,296.7
139,233.7
140,545.2
141,127.8
142,57.4
143,227.8
144,299.4
145,213.6
146,159
147,291
148,359.1
149,425.3
150,173.2
151,184.9
152,192.4
153,258.7
154,379.1
155,163.4
156,254.8
157,199.8
158,173.1
159,232.1
160,311
161,348.5
162,200.7
163,159.8
164,238.1
165,353.8
166,100.1
167,74.2
168,172.2
169,393
170,243.6
171,98.1
172,190.8
173,251.1
174,438.3
175,364.1
176,156.9
177,263.9
178,19.1
179,50.5
180,291.9
181,409.3
182,233.2
183,308.6
184,90.6
185,286.3
186,392.7
187,238.3
188,179
189,238.5
190,211.6
191,142
192,149.4
193,94.6
194,405.5
195,343.2
196,342.5
197,143.7
198,234
199,24.8
200,205.9
201,0
202,74.4
203,123.2
204,444.7
205,197.1
206,158.5
207,229.4
208,335
209,74
210,263.3
211,218.5
212,241.6
213,326.3
214,224.6
215,218.4
216,322.1
217,339.9
218,78.9
219,213.3
220,245.8
