"idAlumno","tiempo"
37789,196.7
15225,324.2
22871,221.7
46541,288.1
24978,322.5
20417,236.4
41873,87.2
46495,176.7
33010,249.1
49237,252.4
682,99.2
32761,1
11674,164.9
46649,438.3
41791,181.8
14553,354.9
34963,141.4
40796,246.3
15790,294.6
13934,408.2
4106,89
31081,249.4
26199,242.9
36758,155
25290,320.5
7379,234.4
41452,250
37876,249
32837,305
7280,382.9
4170,206.4
31687,228.6
1632,360.1
32710,0
3429,235.7
30701,156.5
7186,208
3221,112.4
27586,355.7
14398,155.7
42495,345.6
25325,174.2
895,182.3
15066,194.8
13042,200.4
1975,192.8
622,272.8
41478,211.1
4947,152.7
27792,50.8
